UTTERANCE,LABEL
Im gonna let you go first,0
sounds good uh my first one is an upside down running guy second one is a big triangle chested running guy third one is a large running guy kind of hunched forward and then the last one looks like a picasso person very crappy,0
okay got that,1
okay so i got a diamond missing out the shape i get the racer i got a boat and i got a tree,0
got it,0
hello,1
see it was you all along,0
the long its a long anyhoo footless duck  swimming flying bird thingy whatever this other bird is hes standing and then the last one is sideways,0
got that,1
got a hamburger i get an avalanche what is that and then that abraham lincoln oh its a windmill i couldnt think of the word,0
did you just skip the third one,0
yeah its the windmill i couldnt think of the name its a hammer avalanche wind mill and then abraham lincoln,0
got it,1
i got a very large standing man he looks like hes holding stuff like you just got fired and hes carrying all his stuff out guy with the book the guy laying on his stomach and then the guy trying to what he called the falling tumbling man that,0
okay got it,1
i see i got half a pine tree a apple and then the last one is an apple skip it,0
thats not very helpful,0
yeah you got a oh the second one got a bite out of it sorry,0
okay thank you i got,1
a tree a big letter b a vase and a boat,0
ok got that,1
lets see i got a dragon a rooster a serpent and the duck,0
i think i got it,1
i have a flying bird a weird standing bird a upside down flamingo and a dragon,0
okay got it,1
lets see i got a barn and some scissors a speedboat and a palm tree,0
got it,1
i have a dragon flying sideways and upside down vulture a dragon flying up and an upside down swan,0
okay so the first ones flying down the third one is flying up,0
okay i got that,1
you dont got that,0
okay i got a cake i got a house i got a triangle diamond and an avalanche,1
i got a boat looking thingie a candle without a flame a house and then what looks like a seal,0
got it,1
okay got sitting down ox a crab a giraffe and then a bunny,0
got it,1
we have a seal thats kinda laying on his face upside down vulture flamingo and then a seal on his stomach and by seal i mean the pokemon and not the actual animal,0
oh okay got it,1
okay i got a guy on one oot i got a woman holding out something i think thats the candle woman or care woman whether they call her then i got crab looking thing and then i get the woman holding the carrot standing up the second sideways i just noticed,0
got it,1
i have an upside down duck upside down flamingo regular flamingo and a vulture,0
okay got it,1
i got seal boat shark hammer,1
i have a giraffe a turtle a i dont know what that is i guess it could look like some sort of strange boat and then a big shape at the bottom lets call it a hot air balloon even though it doesnt look like that,0
okay got it,1
i gots the hummingbird flamingo flying bird and then the vulture raptor,0
hummingbird start over you blew my mind,0
okay ill call a dragon a flamingo flying bird and then the uh the raptor,1
all right i have a ram a crappy looking dog thing the sideways i guess a sideways fish and then a fish swimming up,0
okay i got that,1
windmill arrows a big sail boat two sail boat,0
got it,1
a loch ness monster seal a flamingo with his head pointing to the right and then flamingo with this head to the left,0
huh,0
hey lets start over so you got the first two the nest and the seal so then the third thing is like a like a regular flamingo and then the last one is a flamingo but hes looking backwards his heads backwards,0
okay got that then,1
i see long arm guy holding out something in front of them guys sliding on his belly and then the triangle guy,0
i think i got it,0
that last guys running up,1
all right i have like a little upside down boat and then i have a like a touche shit i dont even know what to say hold on i have to answer something,0
one got a box boat when the other ones kind of look like sailboats,0
yeah i agree ok lets call the lets call them all boats then so a little upside down box boat and then we have like a sideways sailboat with the big a parallelogram sail then one thats the right direction and then a bunch of shapes,0
the last one has the three shapes right,0
yeah yeah,0
ok got it,1
i got a hoof i got a candle i got a hammer and then the abraham,0
youre on first name basis with him thats cool got it,1
i have a rabbit a camel a fish and whatever the last thing is,0
okay got it,1
i got a rooster a flamingo a flying bird and uh whatever last one is,0
got it,1
i have the crab thing the weird raptor bird thing the duck and a flamingo,0
okay got it ,1
i got a kicking guy i got a upside down i got a woman and i got the tumbling guy,0
got it,1
all right i have the fox thingy i have what looks like a dog on his hind legs i have like a running dog and then some sort of ugly standing dog who kind of looks like his head was cut off,0
okay got that,1
i lets see i got a duck sideways flying bird sideways upside down duck and a flying bird up right,0
could you start over i was answering a query,0
got a sideways duck,0
and then i have a big flying bird and i have upside down duck and then i have small flying bird,0
okay got it,0
